mapping_set_id,subject_category,subject_id,subject_label,predicate_id,confidence,object_id,object_label,mapping_justification,author_id,author_label,mapping_date
DelphiR2DataElements-to-OMOP,Data-Group,DelphiR2:ABDOMEN,ABDOMEN,skos:broadMatch,1,OMOP:3014308,Physical findings of Abdomen,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Data-Group,DelphiR2:ABDOMEN,ABDOMEN,skos:broadMatch,1,OMOP:37303867,Abdomen,semapv:LexicalMatching,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Data-Group,DelphiR2:ADDITIONAL ASSESSMENTS,ADDITIONAL ASSESSMENTS,skos:broadMatch,1,OMOP:4297090,Evaluation procedure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Data-Group,DelphiR2:ADMISSION,ADMISSION,skos:exactMatch,1,OMOP:4085709,Admission for care,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Subdomain,DelphiR2:ADMISSION,ADMISSION,skos:relatedMatch,1,OMOP:4126965,Admission procedure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Admission,DelphiR2:B2AI:1000106,Admission | Admission | Patient admission (unit/date/time),skos:exactMatch,1,OMOP:4126965,Admission procedure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Data-Group,DelphiR2:AGE,AGE,skos:exactMatch,1,OMOP:3022304,Age,semapv:LexicalMatching,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Subdomain,DelphiR2:AGENTS,AGENTS,skos:exactMatch,1,OMOP:4088217,Administration of medication,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Agents,DelphiR2:B2AI:1000076,Agents | Air | Air,skos:narrowMatch,1,OMOP:21490767,Air delivered.total [Volume] in Reporting period from Gas delivery system,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Agents,DelphiR2:B2AI:1000076,Agents | Air | Air,skos:narrowMatch,1,OMOP:21490766,Air delivered during case [Volume] from Gas delivery system,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
DelphiR2DataElements-to-OMOP,Agents,DelphiR2:B2AI:1000108,Agents | Desflurane | expired,skos:exactMatch,1,OMOP:4139702,Expired desflurane concentration,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,02-20-2024
