source_code,source_concept_id,source_vocabulary_id,source_code_description,relationship_id,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,valid_start_date,valid_end_date,invalid_reason
ABDOMEN,0,DelphiR2,ABDOMEN,Is a,3014308,Physical findings of Abdomen,LOINC,Measurement,02-20-2024,12-31-2099,
ABDOMEN,0,DelphiR2,ABDOMEN,Is a,37303867,Abdomen,SNOMED,Spec Anatomic Site,02-20-2024,12-31-2099,
ADDITIONAL ASSESSMENTS,0,DelphiR2,ADDITIONAL ASSESSMENTS,Is a,4297090,Evaluation procedure,SNOMED,Procedure,02-20-2024,12-31-2099,
ADMISSION,0,DelphiR2,ADMISSION,Has relat context,4126965,Admission procedure,SNOMED,Observation,02-20-2024,12-31-2099,
ADMISSION,0,DelphiR2,ADMISSION,Maps to,4085709,Admission for care,SNOMED,Observation,02-20-2024,12-31-2099,
1000106,0,DelphiR2,Admission | Admission | Patient admission (unit/date/time),Maps to,4126965,Admission procedure,SNOMED,Observation,02-20-2024,12-31-2099,
AGE,0,DelphiR2,AGE,Maps to,3022304,Age,LOINC,Observation,02-20-2024,12-31-2099,
AGENTS,0,DelphiR2,AGENTS,Maps to,4088217,Administration of medication,SNOMED,Procedure,02-20-2024,12-31-2099,
1000076,0,DelphiR2,Agents | Air | Air,Subsumes,21490766,Air delivered during case [Volume] from Gas delivery system,LOINC,Measurement,02-20-2024,12-31-2099,
1000076,0,DelphiR2,Agents | Air | Air,Subsumes,21490767,Air delivered.total [Volume] in Reporting period from Gas delivery system,LOINC,Measurement,02-20-2024,12-31-2099,
1000108,0,DelphiR2,Agents | Desflurane | expired,Maps to,4139702,Expired desflurane concentration,SNOMED,Measurement,02-20-2024,12-31-2099,
1000245,0,DelphiR2,Agents | Heliox | % Helium,Has relat context,19067073,helium,RxNorm,Drug,02-20-2024,12-31-2099,
1000245,0,DelphiR2,Agents | Heliox | % Helium,Has relat context,36925201,helium 79 % / oxygen 21 % Gas for Inhalation [Heliox],RxNorm Extension,Drug,02-20-2024,12-31-2099,
1000245,0,DelphiR2,Agents | Heliox | % Helium,Has relat context,44112046,Helium 0.05 % / Oxygen 0.05 % Gas for Inhalation [heliox],RxNorm Extension,Drug,02-20-2024,12-31-2099,
1000245,0,DelphiR2,Agents | Heliox | % Helium,Has relat context,44112047,Helium 0.07 % / Oxygen 0.03 % Gas for Inhalation [heliox],RxNorm Extension,Drug,02-20-2024,12-31-2099,
1000166,0,DelphiR2,Agents | Heliox | Flow (L/min),Has relat context,19067073,helium,RxNorm,Drug,02-20-2024,12-31-2099,
1000166,0,DelphiR2,Agents | Heliox | Flow (L/min),Is a,4193645,Gas flow rate (v),SNOMED,Measurement,02-20-2024,12-31-2099,
1000250,0,DelphiR2,Agents | Isoflurane | Inspired,Maps to,4140152,Inspired isoflurane concentration,SNOMED,Measurement,02-20-2024,12-31-2099,
1000219,0,DelphiR2,Agents | N2O | Flow,Subsumes,21490717,Fresh gas.nitrous oxide flow Gas delivery system,LOINC,Measurement,02-20-2024,12-31-2099,
1000507,0,DelphiR2,Agents | N2O | Mean (%),Is a,4108442,Nitrous oxide concentration,SNOMED,Observation,02-20-2024,12-31-2099,
1000009,0,DelphiR2,Agents | N2O | N2O,Has relat context,19021129,nitrous oxide,RxNorm,Drug,02-20-2024,12-31-2099,
1000481,0,DelphiR2,Agents | N2O | N2O Expired,Maps to,4108443,Expired nitrous oxide concentration,SNOMED,Observation,02-20-2024,12-31-2099,
1000063,0,DelphiR2,Agents | Neuro IOM | Neuro IOM,Is a,4098799,Intraoperative neurophysiological monitoring,SNOMED,Observation,02-20-2024,12-31-2099,
1000063,0,DelphiR2,Agents | Neuro IOM | Neuro IOM,Subsumes,21490624,Anesthetic agent.XXX Airway adaptor --at end expiration,LOINC,Measurement,02-20-2024,12-31-2099,
1000063,0,DelphiR2,Agents | Neuro IOM | Neuro IOM,Subsumes,21490625,Anesthetic agent.XXX Airway adaptor --during inspiration,LOINC,Measurement,02-20-2024,12-31-2099,
1000063,0,DelphiR2,Agents | Neuro IOM | Neuro IOM,Subsumes,21490804,Anesthetic agent.XXX Airway adaptor,LOINC,Measurement,02-20-2024,12-31-2099,
1000437,0,DelphiR2,Agents | O2  | expired,Maps to,4353937,Expired oxygen concentration,SNOMED,Measurement,02-20-2024,12-31-2099,
1000389,0,DelphiR2,Agents | O2  | O2,Subsumes,21490718,Fresh gas.oxygen flow Gas delivery system,LOINC,Measurement,02-20-2024,12-31-2099,
AGGRESSIVE BEHAVIOR RISK ASSESSMENT TOOL (ABRAT),0,DelphiR2,AGGRESSIVE BEHAVIOR RISK ASSESSMENT TOOL (ABRAT),Has asso proc,46272466,Assessment of aggressive behavior,SNOMED,Procedure,02-20-2024,12-31-2099,
AGGRESSIVE BEHAVIOR RISK ASSESSMENT TOOL (ABRAT),0,DelphiR2,AGGRESSIVE BEHAVIOR RISK ASSESSMENT TOOL (ABRAT),Is a,4239759,Characteristic of aggressive behavior,SNOMED,Observation,02-20-2024,12-31-2099,
AIR,0,DelphiR2,AIR,Maps to,19103572,air,RxNorm,Drug,02-20-2024,12-31-2099,
AIRWAY RESISTANCE,0,DelphiR2,AIRWAY RESISTANCE,Maps to,21490740,Airway resistance,LOINC,Measurement,02-20-2024,12-31-2099,
STATUS,0,DelphiR2,AIRWAY STATUS,Maps to,40771567,Airway status,LOINC,Observation,02-20-2024,12-31-2099,
ALARM SPO2,0,DelphiR2,ALARM SPO2,Is a,4096101,Measurement of oxygen saturation at periphery,SNOMED,Measurement,02-20-2024,12-31-2099,
ALCHOHOL USE,0,DelphiR2,ALCHOHOL USE,Maps to,3027199,History of Alcohol use,LOINC,Observation,02-20-2024,12-31-2099,
ALDRETE SCORE (POST-ANESTHESIA RECOVERY),0,DelphiR2,ALDRETE SCORE (POST-ANESTHESIA RECOVERY),Maps to,37204082,Post Anesthetic Recovery score,SNOMED,Measurement,02-20-2024,12-31-2099,
ALTERNATIVE SAFETY MEASURES,0,DelphiR2,ALTERNATIVE SAFETY MEASURES,Is a,4158958,Safety procedure,SNOMED,Procedure,02-20-2024,12-31-2099,
AMBULATION ASSISTANCE,0,DelphiR2,AMBULATION ASSISTANCE,Is a,4158838,Ambulation therapy,SNOMED,Procedure,02-20-2024,12-31-2099,
ANESTHESIA,0,DelphiR2,ANESTHESIA,Maps to,4160439,Administration of anesthesia,SNOMED,Procedure,02-20-2024,12-31-2099,
APNEA,0,DelphiR2,APNEA,Maps to,321689,Apnea,SNOMED,Condition,02-20-2024,12-31-2099,
ASSISTANCE,0,DelphiR2,ASSISTANCE,Maps to,4002726,Assisting,SNOMED,Procedure,02-20-2024,12-31-2099,
1000034,0,DelphiR2,ASSISTANCE | Ambulation assistance  | Ambulation assistance,Maps to,4265052,Ambulating patient,SNOMED,Procedure,02-20-2024,12-31-2099,
1000302,0,DelphiR2,ASSISTANCE | ASSISTIVE DEVICE | ASSISTIVE DEVICE,Has relat context,605931,Assistive device,SNOMED,Device,02-20-2024,12-31-2099,
1000302,0,DelphiR2,ASSISTANCE | ASSISTIVE DEVICE | ASSISTIVE DEVICE,Subsumes,1761463,Assistive mobility devices used,LOINC,Observation,02-20-2024,12-31-2099,
ASSISTIVE DEVICE,0,DelphiR2,ASSISTIVE DEVICE,Maps to,605931,Assistive device,SNOMED,Device,02-20-2024,12-31-2099,
AWARENESS,0,DelphiR2,AWARENESS,Maps to,4207026,Cognitive function: awareness,SNOMED,Observation,02-20-2024,12-31-2099,
BARTHEL INDEX,0,DelphiR2,BARTHEL INDEX,Maps to,4167605,Barthel index,SNOMED,Measurement,02-20-2024,12-31-2099,
BED MOBILITY LEVEL OF ASSISTANCE,0,DelphiR2,BED MOBILITY LEVEL OF ASSISTANCE,Is a,37016972,Assistance with mobility in bed,SNOMED,Procedure,02-20-2024,12-31-2099,
BED MOBILITY LEVEL OF ASSISTANCE,0,DelphiR2,BED MOBILITY LEVEL OF ASSISTANCE,Subsumes,44812201,Resource Utilisation Groups - Activities of Daily Living Bed mobility score,SNOMED,Measurement,02-20-2024,12-31-2099,
