mapping_set_id,subject_category,subject_id,subject_label,predicate_id,confidence,object_id,object_label,mapping_justification,author_id,author_label,mapping_date
MIMIC4-to-OMOP,bodysite,MIMIC4:L Hand,L Hand,skos:exactMatch,1,OMOP:4309650,Structure of left hand,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:L Foot,L Foot,skos:exactMatch,1,OMOP:4320144,Structure of left foot,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:R Hand,R Hand,skos:exactMatch,1,OMOP:4302584,Structure of right hand,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right External Jugular,Right External Jugular,skos:exactMatch,1,OMOP:37157862,Structure of right external jugular vein,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:R Foot,R Foot,skos:exactMatch,1,OMOP:4298982,Structure of right foot,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right EJ,Right EJ,skos:exactMatch,1,OMOP:37157862,Structure of right external jugular vein,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Upper Quadrant,Left Upper Quadrant,skos:exactMatch,1,OMOP:4314121,Structure of left upper quadrant of abdomen,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Foot,Right Foot,skos:exactMatch,1,OMOP:4298982,Structure of right foot,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Foot,Left Foot,skos:exactMatch,1,OMOP:4320144,Structure of left foot,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Upper Arm,Left Upper Arm,skos:exactMatch,1,OMOP:4283159,Left upper arm structure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:L Wrist,L Wrist,skos:exactMatch,1,OMOP:4245733,Structure of left wrist region,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Urethral,Urethral,skos:exactMatch,1,OMOP:4029306,Urethral structure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Lower Quadrant,Right Lower Quadrant,skos:exactMatch,1,OMOP:4174976,Structure of right lower quadrant of abdomen,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Side Head,Right Side Head,skos:exactMatch,1,OMOP:4106412,Structure of right half of head,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Upper Arm,Right Upper Arm,skos:exactMatch,1,OMOP:4274743,Right upper arm structure,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Digital,Right Digital,skos:exactMatch,1,OMOP:37109541,Structure of digit of right hand,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left External Jugular,Left External Jugular,skos:exactMatch,1,OMOP:4310018,Structure of tributary of external jugular vein,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Digital,Left Digital,skos:exactMatch,1,OMOP:37109540,Structure of digit of left hand,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:R Wrist,R Wrist,skos:exactMatch,1,OMOP:4319901,Structure of right wrist region,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Humeral Head,Right Humeral Head,skos:exactMatch,1,OMOP:609150,Structure of head of right humerus,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left EJ,Left EJ,skos:exactMatch,1,OMOP:37157861,Structure of left external jugular vein,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Lower Quadrant,Left Lower Quadrant,skos:exactMatch,1,OMOP:4285903,Structure of left lower quadrant of abdomen,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Left Side Head,Left Side Head,skos:exactMatch,1,OMOP:4272492,Structure of left half of head,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
MIMIC4-to-OMOP,bodysite,MIMIC4:Right Upper Quadrant,Right Upper Quadrant,skos:exactMatch,1,OMOP:4196689,Structure of right upper quadrant of abdomen,semapv:ManualMappingCuration,0000-0003-4147-1485,Polina Talapova,04-24-2024
