source_vocabulary_id,source_code_description,relationship_id,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,valid_start_date,valid_end_date,invalid_reason
MIMIC4,#/hpf,Maps to,8889,cells per high power field,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,#/uL,Maps to,8784,cells per microliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,%,Maps to,8554,percent,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,% (0.1 mg/gram),Maps to,8723,milligram per gram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,% (40 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,% (5 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,% Hemoglobin A1c,Has relat context,9225,percent hemoglobin A1c,UCUM,Unit,02-06-2024,12-31-2099,
MIMIC4,% Hemoglobin A1c,Maps to,4184637,Hemoglobin A1c measurement,SNOMED,Measurement,02-06-2024,12-31-2099,
MIMIC4,% Hemoglobin A1c,Subsumes,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,LOINC,Measurement,02-06-2024,12-31-2099,
MIMIC4,% Ionized Calcium,Maps to,4307178,Measurement of serum ionized calcium,SNOMED,Measurement,04-24-2024,12-31-2099,
MIMIC4,% Minute Volume,Maps to,4353621,Minute volume,SNOMED,Measurement,02-06-2024,12-31-2099,
MIMIC4,% of current infusion rate,Maps to,8554,percent,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,%(50 mg/5 gram),Maps to,8723,milligram per gram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(0.06 %),Maps to,8554,percent,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(0.1 %),Maps to,8554,percent,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(0.5 %),Maps to,8554,percent,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(0.6 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(1.5 mL),Maps to,8587,milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(10 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(10 mL),Maps to,8587,milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(100 mcg/mL),Maps to,8859,microgram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(100 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(1000 mg),Maps to,8576,milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(1250 mg),Maps to,8576,milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(18 mg/3 mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(1:1,Maps to,8523,ratio,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(2 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(205.5 mcg),Maps to,9655,microgram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(21)/75 mg (7),Maps to,9256,per milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(24 ml),Maps to,8587,milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(24)/75 mg (4),Maps to,9256,per milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(25 mg/2.5gram),Maps to,8723,milligram per gram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(25 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(3 mL),Maps to,8587,milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(30 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(300 mcg),Maps to,9655,microgram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(36 mg iron),Maps to,8576,milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(4 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(40 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(50 mg/5 gram),Maps to,8723,milligram per gram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(500 mg),Maps to,8576,milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(60 mg/mL),Maps to,8861,milligram per milliliter,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(65 mg iron),Maps to,8576,milligram,UCUM,Unit,04-24-2024,12-31-2099,
MIMIC4,(Albumi,Maps to,4097664,Albumin measurement,SNOMED,Measurement,04-24-2024,12-31-2099,
MIMIC4,(Albumin),Maps to,4097664,Albumin measurement,SNOMED,Measurement,04-24-2024,12-31-2099,
MIMIC4,*NF* Abatacept,Maps to,1186087,abatacept,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Allopurinol Sodium,Maps to,1167322,allopurinol,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Arginine HCl,Maps to,19006410,arginine,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Benzoyl Peroxide 5% Wash,Maps to,918172,benzoyl peroxide,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Butorphanol Tart. Nasal,Maps to,1133732,butorphanol,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Capecitabine,Maps to,1337620,capecitabine,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Cefoxitin Sodium,Maps to,1775741,cefoxitin,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Ceftaroline,Maps to,40230597,ceftaroline,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Ciprofloxacin 0.3% Ophth Oint,Maps to,1797513,ciprofloxacin,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Diazoxide Suspension,Maps to,1523280,diazoxide,RxNorm,Drug,04-24-2024,12-31-2099,
MIMIC4,*NF* Diltiazem SR,Maps to,1328165,diltiazem,RxNorm,Drug,04-24-2024,12-31-2099,
